DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES,MES
AUS,BOG,27000,37800,151143678,DIC
AUS,BOG,4600,1900,7597169,DIC
AUS,BOG,1079,501607,1972614672,DIC
AUS,BOG,365000,107550,430190320,DIC
AUS,BOG,3180000,674550,2698139290,DIC
AUS,BOG,25298000,4972920,19879922677,DIC
AUS,BOG,17500,91750,355205537,DIC
AUS,BOG,3100,2652211,10384546515,DIC
AUS,BOG,4800,722200,2847656266,DIC
AUS,BOG,500,55200,217655256,DIC
AUS,BOG,800,86020,339179440,DIC
AUS,BOG,2300,253920,1001214177,DIC
AUS,BOG,7762,69720,282032738,DIC
AUS,BOG,2226000,333900,1321162164,DIC
AUS,BOG,2825000,680750,2695959372,DIC
AUS,BOG,44000,56760,224535748,DIC
AUS,BOG,42000,69450,275331629,DIC
AUS,BOG,75000,132750,525143070,DIC
AUS,BOG,7500,26925,106512069,DIC
AUS,BOG,1980000,284400,1129755672,DIC
AUS,BOG,180000,37800,149532264,DIC
AUS,BOG,4500,9045,35780934,DIC
AUS,BOG,6120,68400,270582192,DIC
AUS,BOG,36000,6120,24209985,DIC
AUS,BOG,715000,128700,509121756,DIC
AUS,BOG,4350000,1449500,5773575925,DIC
AUS,BOG,31907000,7254617,28895708553,DIC
AUS,BOG,11084600,4076503,15907395421,DIC
AUS,BOG,2650000,546750,2186185342,DIC
AUS,BOG,6350000,1257500,5007993750,DIC
AUS,BOG,244800,628920,2473284502,DIC
AUS,BOG,96100,641750,2539250730,DIC
AUS,BOG,2407500,528975,2064233794,DIC
AUS,BOG,2685000,599700,2388305250,DIC
AUS,BOG,260000,84000,334530000,DIC
AUS,BOG,80000,20000,79817600,DIC
AUS,BOG,30000,7500,29931600,DIC
AUS,BOG,2866000,689330,2706510173,DIC
AUS,BOG,13100,837197,3340039291,DIC
AUS,BOG,400000,13833,55187445,DIC
AUS,BOG,16800,91347,351211859,DIC
AUS,BOG,42200,1135624,4400650030,DIC
AUS,BOG,2500,16375,65213437,DIC
AUS,BOG,30300,318704,1250904149,DIC
AUS,BOG,27673,32930,131236644,DIC
AUS,BOG,148900,4229246,16668926920,DIC
AUS,BOG,2200,30077,119993695,DIC
AUS,BOG,67300,1394696,5507185441,DIC
AUS,BOG,414700,5435181,21510857349,DIC
AUS,BOG,31000,472700,1858935293,DIC
AUS,BOG,11000,62550,249546352,DIC
AUS,BOG,12000,99280,396082524,DIC
AUS,BOG,27300,298846,1192261059,DIC
AUT,BOG,32439,75130,299205225,DIC
AUT,BOG,5561,20870,83114775,DIC
AUT,BOG,752000,127840,494926168,DIC
AUT,BOG,2448000,418220,1619117819,DIC
AUT,BOG,1600000,260320,1030214681,DIC
AUT,BOG,6320000,1079420,4276688489,DIC
AZE,BOG,600,50400,201524904,DIC
AZE,BOG,700,206400,825292464,DIC
AZE,BOG,100,36800,147145168,DIC
AZE,BOG,200,73600,294290336,DIC
AZE,BOG,200,49600,198326096,DIC
AZE,BOG,200,49600,198326096,DIC
AZE,BOG,200,39200,156741592,DIC
AZE,BOG,200,25600,102361856,DIC
AZE,BOG,200,20800,83169008,DIC
AZE,BOG,508000,350898,1388145492,DIC
AZE,BOG,90000,63600,254305236,DIC
AZE,BOG,177600,158724,628032774,DIC
AZE,BOG,253200,221688,886625637,DIC
AZE,BOG,60000,20400,81598164,DIC
AZE,BOG,680000,100800,403190928,DIC
AZE,BOG,5230000,801900,3207527829,DIC
AZE,BOG,720000,100544,400481833,DIC
AZE,BOG,5090000,735612,2930052937,DIC
BHS,BOG,77500,20225,80688648,DIC
BHS,BOG,200,36580,144738280,DIC
BHS,BOG,22200,449799,1779746691,DIC
BHS,BOG,3600,121968,482598103,DIC
BHS,BOG,2400,133980,533575350,DIC
