DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ARG,BOG,5880000,1002175,3983735820
ARG,BOG,8000,121000,489385710
ARG,BOG,15000,596500,2441074845
ARG,BOG,2440,2529043,10260175708
ARG,BOG,600,729930,2893128649
ARG,BOG,27800,341400,1405403826
ARG,BOG,44100,591768,2389079851
ARG,BOG,96000,2072320,8370334003
ARG,BOG,400,254014,1017341310
ARG,BOG,7300,132841,536304356
ARG,BOG,953254,6865882,27995221902
ARG,BOG,300,451562,1823041590
ARG,BOG,100,95891,388081425
ARG,BOG,200,590573,2384255409
ARG,BOG,400,61950,250103920
ARG,BOG,100,19950,80541940
ARG,BOG,110,22824,92144824
ARG,BOG,170000,10200,40545918
ARG,BOG,1000,6320,25515040
ARG,BOG,200,244,985074
ARG,BOG,1000,212363,857349779
ARG,BOG,1,1758,7097380
ARG,BOG,12600,756,3005168
ARG,BOG,1,3751,15143499
ARG,BOG,2405,153163,618348131
ARG,BOG,1,4570,18449958
ARG,BOG,4,48,193783
ARG,BOG,200,674678,2723803274
ARG,BOG,100,2081000,8401392390
ARG,BOG,5,4130,16673594
ARG,BOG,10,4000,15900360
ARG,BOG,30,3466,13777661
ARG,BOG,4,7500,29813175
ARG,BOG,500,2320,9553087
ARG,BOG,420000,21420,86404638
ARG,BOG,1315000,178840,721410157
ARG,BOG,40000,30600,123435198
ARG,BOG,1487500,441800,1782146094
ARG,BOG,612500,67375,271779296
ARG,BOG,88000,51040,205886683
ARG,BOG,1012000,236600,955793230
ARG,BOG,1697500,186725,768879399
ARG,BOG,100,3413,13778929
ARG,BOG,1000,13380,54017602
ARG,BOG,200,83038,335240183
ARG,BOG,2800,258415,1043270453
ARG,BOG,100,23955,96710886
ARG,BOG,1100,145007,585420810
ARG,BOG,100,292165,1179525616
ARG,BOG,1700,111693,450925862
ARG,BOG,300,21204,85604576
ARG,BOG,200,19966,80606535
ARG,BOG,500,247880,1014406760
ARG,BOG,500000,2400000,9706824000
ARG,BOG,11200000,325192,1330792977
ARG,BOG,3334,7496,30477161
ARG,BOG,12480,9243,37580096
ARG,BOG,14,22221,90345919
ARG,BOG,23800,92344,369843260
ARG,BOG,229033,190311923,7.63714E+11
AUS,BOG,198000,30237,123739782
AUS,BOG,308000,86240,342811761
AUS,BOG,645000,375300,1535851449
AUS,BOG,3400,331640,1320149398
AUS,BOG,500,116840,465101482
AUS,BOG,400,128000,509525760
AUS,BOG,500,58640,233426488
AUS,BOG,1400,136000,541371120
AUS,BOG,96500,70800,288682752
AUS,BOG,6000,11176388,44762104523
AUS,BOG,600,62640,257863197
AUS,BOG,900,201600,829904544
AUS,BOG,900,288360,1187059892
AUS,BOG,700,175680,723202531
AUS,BOG,700,126720,521654284
AUS,BOG,600000,296900,1203866047
AUS,BOG,1580000,549200,2176792644
AUS,BOG,21924200,3272430,13392029021
AUS,BOG,3236000,586450,2383520593
AUS,BOG,50000,13835,56024427
AUS,BOG,22600,140486,578480607
AUS,BOG,47700,1268112,5168381015
AUS,BOG,100,6158,24906092
AUS,BOG,20800,129965,526781318
AUS,BOG,34900,120854,484027521
AUS,BOG,12867,19483,78826476
AUS,BOG,100,9630,38948631
AUS,BOG,142200,3783136,15301635690
AUS,BOG,4000,49393,199408925
AUS,BOG,55800,1409420,5712048878
AUS,BOG,517800,7678007,31011466959
AUS,BOG,7100,182756,737820695
AUS,BOG,16900,203406,821188669
AUS,BOG,2200,7310,29511858
AUS,BOG,35800,301330,1216526462
AUS,BOG,3000,87990,362317302
AUS,BOG,46700,927563,3819435440
AUS,BOG,21100,235687,970490716
AUS,BOG,1000,13740,56577335
AUS,BOG,100800,947804,3902782008
AUS,BOG,29320,1382400,5620548096
AUS,BOG,2200,20171,81634252
AUS,BOG,2560000,943235,3804849640
AUS,BOG,121600,79090,323662379
AUS,BOG,60000,19200,77514048
AUS,BOG,1500000,1155000,4726641150
AUS,BOG,2000,1289372,5309259978
AUS,BOG,12712,243600,982640988
AUS,BOG,750,11400,45985662
AUS,BOG,8300,331336,1351002659
AUS,BOG,100,280000,1133190800
AUS,BOG,2715000,655500,2661428325
AUS,BOG,48000,62400,253353360
AUS,BOG,236000,411880,1677772053
AUS,BOG,108000,191160,776138274
AUS,BOG,5000,17550,71255632
AUS,BOG,2340000,337200,1369082580
AUS,BOG,170000,35700,144947355
AUS,BOG,7500,15075,61206761
AUS,BOG,11200,98800,401142820
AUS,BOG,476700,128880,510935709
AUS,BOG,900000,242800,963828816
AUS,BOG,10257500,3239665,13055292936
AUS,BOG,1800000,369950,1470584545
AUS,BOG,34000,45900,186360885
AUS,BOG,3300,314,1270789
AUS,BOG,3000,363000,1453836780
AUS,BOG,570000,166700,666218895
AUS,BOG,825000,174000,691665660
AUS,BOG,140000,37600,151798344
AUS,BOG,540000,81000,329372730
AUS,BOG,118598,779750,3209911052
AUS,BOG,4410,334122,1328165020
AUS,BOG,3290,135615,539081830
AUS,BOG,30000,1500,5984835
AUS,BOG,920000,181400,746749426
AUS,BOG,100,1165500,4797885645
AUS,BOG,9363000,1781890,7193828489
AUS,BOG,25504000,7254600,29288198574
AUS,BOG,1837600,651968,2591631477
AUS,BOG,4550000,896200,3562475658
AUS,BOG,5050,16875274,68296090158
AUS,BOG,55200,460136,1821112456
AUS,BOG,146200,3046000,12319577460
AUS,BOG,300,39000,157450410
AUS,BOG,800,230400,930168576
AUS,BOG,600,154800,624957012
AUS,BOG,600,180000,726694200
AUS,BOG,3800,815200,3291117288
AUS,BOG,1200,319200,1288671048
AUS,BOG,1400,235600,951161964
AUS,BOG,200,51600,208319004
AUS,BOG,400,128800,519990072
AUT,BOG,1308000,222360,906659558
AUT,BOG,2574000,437580,1784206195
AUT,BOG,12793,11933355,49124729859
AUT,BOG,2016000,320160,1292212598
AUT,BOG,7246000,1095880,4415437456
AUT,BOG,16000,160,645412
AUT,BOG,38000,380,1532855
AZE,BOG,717900,507046,2063140697
AZE,BOG,3200,7680,31225267
AZE,BOG,100,1865552,7634454416
AZE,BOG,100,1725200,7060087716
AZE,BOG,100,1271700,5204216061
AZE,BOG,140000,30800,124345452
AZE,BOG,100000,32000,129190080
AZE,BOG,43200,3456,14143092
AZE,BOG,640000,85548,347820202
AZE,BOG,5630000,790942,3215804074
BHS,BOG,19200,841799,3398502504
BHS,BOG,20000,906650,3660318313
BHS,BOG,68200,768052,3100771853
BHS,BOG,21900,1542985,6229323612
BHS,BOG,58700,823962,3326491146
BHS,BOG,321,284687,1149335509
BHR,BOG,346800,226800,898937676
BHR,BOG,823700,363637,1480076557
BHR,BOG,48000,13440,55000915
BHR,BOG,93116,24000,98798160
BHR,BOG,54064,5150000,21200438500
BHR,BOG,100600,31672,127865881
BHR,BOG,377400,54296,219203268
BHR,BOG,3600,9844,39130785
BHR,BOG,600,2951,11730490
BHR,BOG,8200,23075,91725201
BHR,BOG,660,3131,12446006
BHR,BOG,1850000,452000,1799262840
BHR,BOG,1676200,215386,856178734
BHR,BOG,455800,83414,333972636
BHR,BOG,1187500,296875,1210490000
BHR,BOG,10390000,1565675,6296894548
BHR,BOG,750000,75000,305473050
BHR,BOG,400000,80000,324719520
BHR,BOG,92000,11960,48244606
BHR,BOG,411000,274325,1129590795
BHR,BOG,618000,174640,712000493
BHR,BOG,32800,418000,1705450116
BRB,BOG,5800,578464,2367265581
BEL,BOG,8000,53040,212428382
BEL,BOG,16000,46240,185193974
BEL,BOG,6900,19964,79957017
BEL,BOG,16920,97696,391278341
BEL,BOG,100,4000,16240600
BEL,BOG,200,10000,40050600
BEL,BOG,44800,350400,1414631376
BEL,BOG,15000,127500,514741725
BEL,BOG,264600,1383725,5484490898
BEL,BOG,100,131153,522076812
BEL,BOG,54432,2227980,8856421018
BEL,BOG,300,462294,1891859605
BEL,BOG,600,138356,558569458
BMU,BOG,3600,49320,201833715
BMU,BOG,48100,2188875,8957598828
BMU,BOG,21000,378648,1549552569
BMU,BOG,600,19908,81470105
BMU,BOG,800,16608,67965416
BMU,BOG,4100,53302,218129373
BLR,BOG,2610400,2608914,10637690300
BLR,BOG,9535000,3327048,13699818820
BLR,BOG,280000,53200,219062172
BLR,BOG,5635000,1082050,4455568105
BLR,BOG,1520000,261201,1060515240
BLR,BOG,6615000,2218052,9105189040
BLR,BOG,220000,41800,172120278
BLR,BOG,10825000,2065997,8488933466
BLR,BOG,193600,590240,2399791889
BLR,BOG,21200,43640,177431075
BLR,BOG,1000000,365400,1504611234
BLR,BOG,75000,14250,58677367
BLR,BOG,210000,39900,164296629
BLR,BOG,96000,30880,127154884
BLR,BOG,1280000,162560,657898201
BLR,BOG,40000,4440,17674174
BLR,BOG,1115000,146065,581436563
BLR,BOG,560000,72800,298789392
BLR,BOG,2695000,346180,1415148432
BLR,BOG,2422500,595550,2367364849
BLR,BOG,3390000,459090,1824924068
BLR,BOG,1320000,175725,698522690
BLR,BOG,7000,3640,14731480
BLR,BOG,50000,100,411659
BLR,BOG,4330000,557288,2258455913
BLR,BOG,55935000,7334720,29693169836
BLR,BOG,100000,19000,76895090
BLR,BOG,13000,17933,71748800
BLR,BOG,10000,2550,10150708
BLR,BOG,31500,46155,185261112
BLR,BOG,20000,6120,24361700
BLR,BOG,250,2890,11504136
BOL,BOG,30000,133800,539726454
BOL,BOG,116000,461020,1859676306
BOL,BOG,82700,573643,2313978342
BOL,BOG,48000,228160,913794489
BOL,BOG,16000,51040,204418262
BOL,BOG,16000,45200,181028712
BOL,BOG,32000,143760,575767425
BOL,BOG,16000,101120,404991667
BOL,BOG,64000,203200,813828192
BOL,BOG,80000,483840,1937808230
BOL,BOG,16000,103980,416446138
BOL,BOG,600,7500,30874425
BOL,BOG,35295,1057846,4354718265
BOL,BOG,300,900,3630447
BOL,BOG,100,400,1613532
BOL,BOG,200,1000,4033830
BOL,BOG,1200,163900,656429334
BOL,BOG,475000,1412000,5612827080
BOL,BOG,2100,13868,55189944
BOL,BOG,4900,13387,54143855
BOL,BOG,800,3944,15609444
BOL,BOG,16000,59451,236147425
BOL,BOG,900,3591,14414282
BOL,BOG,43700,113989,458177117
BOL,BOG,900,3006,12157797
BOL,BOG,6200,16596,66377417
BOL,BOG,7500,17128,69274366
